method,bits_per_key,incoming_attempts_per_second,backend_invocations_per_second,worker_utilization,p50_wait_ms,p95_wait_ms,p99_wait_ms,fraction_wait_gt_1s,valid_drop_rate_for_rate_limit_baselines,raw_invalid_forward_rate
Peppered tag,16.0,425.0,34.00596618652344,0.5188885365486146,0.0,11.031070461726545,62.07539721748535,2.0258507096094805e-14,0.0,1.5258789062499998e-05
Adaptive tag,16.0,425.0,34.0040474009646,0.5188592582794687,0.0,11.02171814199617,62.06293875976346,2.0219672634652006e-14,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,425.0,33.998688165283205,0.5187774830420151,0.0,10.995598912686596,62.02814597967676,2.011160049430279e-14,0.0001,5.340576171874997e-06
Global Bloom,16.0,450.0,36.189876342269145,0.5522122756375993,0.0,21.979167348703673,76.82214184364248,1.7991508050377188e-13,0.0,0.0004586385078964976
TRAPS learned,16.0,450.0,36.128810201933305,0.5512804826687498,0.0,21.663610389716915,76.39270016145691,1.6925709383287153e-13,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,450.0,36.06440510096665,0.5502977413343749,0.0,21.33146223429396,75.9409516756487,1.5869969779668256e-13,0.0,0.0001555678767310421
Peppered tag,16.0,450.0,36.006317138671875,0.5494113916397095,0.0,21.032470029099326,75.53453752637004,1.4974378909742942e-13,0.0,1.5258789062499998e-05
Adaptive tag,16.0,450.0,36.00428548337429,0.5493803911194375,0.0,21.022022468109082,75.52034047819588,1.494398701688183e-13,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,450.0,35.99861099853516,0.5492938055738985,0.0,20.99284557133153,75.48069386377473,1.485942773120978e-13,0.0001,5.340576171874997e-06
Global Bloom,16.0,475.0,38.200425027950764,0.5828907353952437,0.0,32.75484259635398,91.63152750917764,1.3435002985477803e-12,0.0,0.0004586385078964976
TRAPS learned,16.0,475.0,38.13596632426293,0.581907176150347,0.0,32.396401002073034,91.1345790942781,1.2596320664953584e-12,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,475.0,38.06798316213147,0.5808698380751736,0.0,32.0193865555483,90.61218892885604,1.1768442663592195e-12,0.0,0.0001555678767310421
Peppered tag,16.0,475.0,38.00666809082031,0.5799342467308045,0.0,31.680245616324008,90.14254718513588,1.1068536426150524e-12,0.0,1.5258789062499998e-05
Adaptive tag,16.0,475.0,38.00452356578397,0.5799015239594062,0.0,31.668399239244152,90.1261469983215,1.1044825106515611e-12,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,475.0,37.998533831787114,0.5798101281057817,0.0,31.635317328855038,90.08034989388612,1.097886727421786e-12,0.0001,5.340576171874997e-06
Global Bloom,16.0,500.0,40.210973713632384,0.6135691951528882,0.0,44.46724322998645,108.01810521695978,1.0032472248262333e-11,0.0,0.0004586385078964976
TRAPS learned,16.0,500.0,40.14312244659256,0.6125338696319442,0.0,44.053365169841214,107.43441662594157,9.374336442938608e-12,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,500.0,40.071561223296285,0.6114419348159722,0.0,43.618401180118724,106.82133774694235,8.726938025029564e-12,0.0,0.0001555678767310421
Peppered tag,16.0,500.0,40.00701904296875,0.6104571018218995,0.0,43.22744609710828,106.27059451853275,8.181474460841203e-12,0.0,1.5258789062499998e-05
Adaptive tag,16.0,500.0,40.00476164819365,0.6104226567993749,0.0,43.213795189923076,106.25136956371541,8.163026473170162e-12,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,500.0,39.998456665039065,0.6103264506376649,0.0,43.17567590815538,106.19768699035676,8.111720639936011e-12,0.0001,5.340576171874997e-06
Global Bloom,16.0,525.0,42.221522399314004,0.6442476549105326,0.0,57.45299083696128,126.48418932471203,7.491661856789258e-11,0.0,0.0004586385078964976
TRAPS learned,16.0,525.0,42.15027856892218,0.6431605631135414,0.0,56.96646742749126,125.78736615054312,6.976496239088931e-11,0.0,0.0003111357534620842
TRAPS+ReplayCache,16.0,525.0,42.075139284461095,0.6420140315567707,0.0,56.45564096664184,125.05612509496972,6.47149750139153e-11,0.0,0.0001555678767310421
Peppered tag,16.0,525.0,42.00736999511719,0.6409799569129945,0.0,55.99692129143984,124.39981750635228,6.047459372790482e-11,0.0,1.5258789062499998e-05
Adaptive tag,16.0,525.0,42.00499973060333,0.6409437896393436,0.0,55.98091147138006,124.376917549889,6.033142268804898e-11,0.0,1.0351409116635597e-05
RateLimit+Tag,16.0,525.0,41.99837949829102,0.6408427731695482,0.0,55.93620765116825,124.31297668649381,5.993333382842265e-11,0.0001,5.340576171874997e-06
Global Bloom,16.0,550.0,44.232071084995624,0.674926114668177,0.0,72.16109412298412,147.7070295379005,5.594333678440243e-10,0.0,0.0004586385078964976
TRAPS learned,16.0,550.0,44.157434691251815,0.6737872565951387,0.0,71.57770682558828,146.85989994296438,5.191994128894858e-10,0.0,0.0003111357534620842
