seed,method,method_kind,bits_per_key,N_keys,N_valid,N_events,N_invalid,N_invalid_unique,N_invalid_repeated,valid_forwarded,valid_rejected,valid_throttled,invalid_forwarded,invalid_forwarded_unique,invalid_forwarded_repeated,invalid_rejected_by_index,invalid_rejected_by_cache,invalid_throttled,raw_invalid_forward_rate,first_seen_invalid_forward_rate,replay_suppression_rate,backend_work_reduction,valid_rejection_rate,backend_invocations,probe_cost
0,TRAPS learned,one-sided AMQ,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,314,161,153,999686,0,0,0.000314,0.000322,0.0,0.9520819047619048,0.0,50314,12.518945708482095
0,TRAPS+ReplayCache,one-sided AMQ+cache,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,161,161,0,499839,500000,0,0.000161,0.000322,1.0,0.9522276190476191,0.0,50161,12.518945708482095
0,Oracle AMQ,oracle,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,289,135,154,999711,0,0,0.000289,0.00027,0.0,0.9521057142857143,0.0,50289,12.408502433406422
0,Peppered tag,one-sided tag,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,16,9,7,999984,0,0,1.6e-05,1.8e-05,0.0,0.9523657142857143,0.0,50016,1.0
0,Peppered tag-64,production upper bound,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,0,0,0,1000000,0,0,0.0,0.0,0.0,0.9523809523809523,0.0,50000,1.0
0,Adaptive tag,one-sided tag,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,8,0,8,999992,0,0,8e-06,0.0,0.0,0.9523733333333333,0.0,50008,1.0
0,Tag+NegCache,one-sided tag+cache,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,9,9,0,499991,500000,0,9e-06,1.8e-05,1.0,0.952372380952381,0.0,50009,1.0
0,NegCache only,exact cache,16.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,500000,500000,0,0,500000,0,0.5,1.0,1.0,0.47619047619047616,0.0,550000,0.0
0,RateLimit+Tag,operational,16.0,200000,50000,1050000,1000000,500000,500000,49994,0,6,5,1,4,999995,0,0,5e-06,2e-06,0.0,0.9523819047619048,0.00012,49999,1.0
0,RateLimit+Tag+NegCache,operational,16.0,200000,50000,1050000,1000000,500000,500000,49997,0,3,1,1,0,499999,500000,0,1e-06,2e-06,1.0,0.9523828571428572,6e-05,49998,1.0
0,No admission,backend-only,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,1000000,500000,500000,0,0,0,1.0,1.0,0.0,0.0,0.0,1050000,0.0
0,Global Bloom,one-sided AMQ,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,69,38,31,999931,0,0,6.9e-05,7.6e-05,0.0,0.9523152380952381,0.0,50069,14.0
0,GlobalBloom+NegCache,one-sided AMQ+cache,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,38,38,0,499962,500000,0,3.8e-05,7.6e-05,1.0,0.9523447619047619,0.0,50038,14.0
0,Hash partition,one-sided AMQ,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,72,40,32,999928,0,0,7.2e-05,8e-05,0.0,0.9523123809523809,0.0,50072,14.0
0,Risk partition,one-sided AMQ,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,50,27,23,999950,0,0,5e-05,5.4e-05,0.0,0.9523333333333334,0.0,50050,15.029636057414148
0,TRAPS learned,one-sided AMQ,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,53,31,22,999947,0,0,5.3e-05,6.2e-05,0.0,0.9523304761904762,0.0,50053,15.395174115747919
0,TRAPS+ReplayCache,one-sided AMQ+cache,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,31,31,0,499969,500000,0,3.1e-05,6.2e-05,1.0,0.9523514285714285,0.0,50031,15.395174115747919
0,Oracle AMQ,oracle,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,52,31,21,999948,0,0,5.2e-05,6.2e-05,0.0,0.9523314285714286,0.0,50052,15.063136391818073
0,Peppered tag,one-sided tag,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,0,0,0,1000000,0,0,0.0,0.0,0.0,0.9523809523809523,0.0,50000,1.0
0,Peppered tag-64,production upper bound,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,0,0,0,1000000,0,0,0.0,0.0,0.0,0.9523809523809523,0.0,50000,1.0
0,Adaptive tag,one-sided tag,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,0,0,0,1000000,0,0,0.0,0.0,0.0,0.9523809523809523,0.0,50000,1.0
0,Tag+NegCache,one-sided tag+cache,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,0,0,0,500000,500000,0,0.0,0.0,1.0,0.9523809523809523,0.0,50000,1.0
0,NegCache only,exact cache,20.0,200000,50000,1050000,1000000,500000,500000,50000,0,0,500000,500000,0,0,500000,0,0.5,1.0,1.0,0.47619047619047616,0.0,550000,0.0
