method,request_rate,backend_rate,forward_fraction,p95_latency_ms,utilization
Keyed tag,400.0,32.005615234375,0.0800140380859375,123.5392792149332,0.4883656814575196
Adaptive tag,400.0,32.00286074827318,0.08000715187068294,123.52633182638709,0.4883236514427134
Backend only,425.0,425.0,1.0,10000.0,2.0
Global Bloom,425.0,34.17932765658753,0.08042194742726477,133.94772904109456,0.5215338158799551
Risk partition,425.0,34.09633269995189,0.08022666517635738,133.54198278460117,0.5202674165853909
TRAPS learned,425.0,34.09136061821387,0.08021496616050322,133.51769973475803,0.5201915488331709
Keyed tag,425.0,34.00596618652344,0.0800140380859375,133.10107046172655,0.5188885365486146
Adaptive tag,425.0,34.00303954504025,0.08000715187068294,133.0868059298195,0.518843879657883
Backend only,450.0,450.0,1.0,10000.0,2.0
Global Bloom,450.0,36.189876342269145,0.08042194742726477,144.0491673487037,0.5522122756375993
Risk partition,450.0,36.10199932936082,0.08022666517635738,143.59525987518978,0.5508713822668845
TRAPS learned,450.0,36.09673477222645,0.08021496616050322,143.56810730592326,0.5507910517057103
Keyed tag,450.0,36.006317138671875,0.0800140380859375,143.10247002909935,0.5494113916397095
Adaptive tag,450.0,36.003218341807326,0.08000715187068294,143.08653507695584,0.5493641078730526
Backend only,475.0,475.0,1.0,10000.0,2.0
Global Bloom,475.0,38.200425027950764,0.08042194742726477,154.824842596354,0.5828907353952437
Risk partition,475.0,38.10766595876975,0.08022666517635738,154.30932822611334,0.581475347948378
TRAPS learned,475.0,38.102108926239026,0.08021496616050322,154.2785069396938,0.5813905545782497
Keyed tag,475.0,38.00666809082031,0.0800140380859375,153.75024561632404,0.5799342467308045
Adaptive tag,475.0,38.0033971385744,0.08000715187068294,153.73217725578343,0.5798843360882222
Backend only,500.0,500.0,1.0,10000.0,2.0
Global Bloom,500.0,40.210973713632384,0.08042194742726477,166.53724322998647,0.6135691951528882
Risk partition,500.0,40.113332588178686,0.08022666517635738,165.94210457591362,0.6120793136298716
TRAPS learned,500.0,40.10748308025161,0.08021496616050322,165.90654458440287,0.6119900574507893
Keyed tag,500.0,40.00701904296875,0.0800140380859375,165.2974460971083,0.6104571018218995
Adaptive tag,500.0,40.00357593534147,0.08000715187068294,165.27662557165974,0.6104045643033917
Backend only,525.0,525.0,1.0,10000.0,2.0
Global Bloom,525.0,42.221522399314004,0.08042194742726477,179.5229908369613,0.6442476549105326
Risk partition,525.0,42.11899921758762,0.08022666517635738,178.82353279663644,0.6426832793113652
TRAPS learned,525.0,42.11285723426419,0.08021496616050322,178.78176904116398,0.6425895603233287
Keyed tag,525.0,42.00736999511719,0.0800140380859375,178.06692129143985,0.6409799569129945
