seed,bits_per_key,replay_fraction,occupancy_injection_fraction,method,raw_invalid_forward_rate,first_seen_invalid_forward_rate,valid_rejects
4,16.0,0.0,0.05,Adaptive tag,2.3537649983354955e-05,2.3537649983354955e-05,0
5,16.0,0.0,0.05,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
5,16.0,0.0,0.05,Risk partition,0.0004627292025038664,0.0004627292025038664,0
5,16.0,0.0,0.05,TRAPS learned,0.0005485992516460539,0.0005485992516460539,0
5,16.0,0.0,0.05,TRAPS+ReplayCache,0.0005485992516460539,0.0005485992516460539,0
5,16.0,0.0,0.05,Oracle AMQ,0.0003789305232291723,0.0003789305232291723,0
5,16.0,0.0,0.05,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
5,16.0,0.0,0.05,Adaptive tag,1.8251760627569483e-05,1.8251760627569483e-05,0
6,16.0,0.0,0.05,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
6,16.0,0.0,0.05,Risk partition,0.0004691857003202924,0.0004691857003202924,0
6,16.0,0.0,0.05,TRAPS learned,0.0004992884945728721,0.0004992884945728721,0
6,16.0,0.0,0.05,TRAPS+ReplayCache,0.0004992884945728721,0.0004992884945728721,0
6,16.0,0.0,0.05,Oracle AMQ,0.0003857771313113024,0.0003857771313113024,0
6,16.0,0.0,0.05,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
6,16.0,0.0,0.05,Adaptive tag,1.6611204006751075e-05,1.6611204006751075e-05,0
7,16.0,0.0,0.05,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
7,16.0,0.0,0.05,Risk partition,0.0005020722929386298,0.0005020722929386298,0
7,16.0,0.0,0.05,TRAPS learned,0.0006936366346472914,0.0006936366346472914,0
7,16.0,0.0,0.05,TRAPS+ReplayCache,0.0006936366346472914,0.0006936366346472914,0
7,16.0,0.0,0.05,Oracle AMQ,0.0003864475220219822,0.0003864475220219822,0
7,16.0,0.0,0.05,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
7,16.0,0.0,0.05,Adaptive tag,2.307711827916102e-05,2.307711827916102e-05,0
8,16.0,0.0,0.05,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
8,16.0,0.0,0.05,Risk partition,0.00048816180097355525,0.00048816180097355525,0
8,16.0,0.0,0.05,TRAPS learned,0.0005290675005675705,0.0005290675005675705,0
8,16.0,0.0,0.05,TRAPS+ReplayCache,0.0005290675005675705,0.0005290675005675705,0
8,16.0,0.0,0.05,Oracle AMQ,0.00038226553659040006,0.00038226553659040006,0
8,16.0,0.0,0.05,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
8,16.0,0.0,0.05,Adaptive tag,1.7601944128089886e-05,1.7601944128089886e-05,0
9,16.0,0.0,0.05,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
9,16.0,0.0,0.05,Risk partition,0.0004680195336600203,0.0004680195336600203,0
9,16.0,0.0,0.05,TRAPS learned,0.0005299292797541049,0.0005299292797541049,0
9,16.0,0.0,0.05,TRAPS+ReplayCache,0.0005299292797541049,0.0005299292797541049,0
9,16.0,0.0,0.05,Oracle AMQ,0.00038488703466637707,0.00038488703466637707,0
9,16.0,0.0,0.05,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
9,16.0,0.0,0.05,Adaptive tag,1.7630615307241616e-05,1.7630615307241616e-05,0
0,16.0,0.5,0.0,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
0,16.0,0.5,0.0,Risk partition,0.0004882571812758508,0.0004882571812758508,0
0,16.0,0.5,0.0,TRAPS learned,0.0005649043167608859,0.0005649043167608859,0
0,16.0,0.5,0.0,TRAPS+ReplayCache,0.00028245215838044297,0.0005649043167608859,0
0,16.0,0.5,0.0,Oracle AMQ,0.0003844055326205988,0.0003844055326205988,0
0,16.0,0.5,0.0,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
0,16.0,0.5,0.0,Adaptive tag,1.8794226087739e-05,1.8794226087739e-05,0
1,16.0,0.5,0.0,Global Bloom,0.0004586385078964973,0.0004586385078964973,0
1,16.0,0.5,0.0,Risk partition,0.0005113406740718338,0.0005113406740718338,0
1,16.0,0.5,0.0,TRAPS learned,0.0006076446087500598,0.0006076446087500598,0
1,16.0,0.5,0.0,TRAPS+ReplayCache,0.0003038223043750299,0.0006076446087500598,0
1,16.0,0.5,0.0,Oracle AMQ,0.00037351682023055194,0.00037351682023055194,0
1,16.0,0.5,0.0,Peppered tag,1.52587890625e-05,1.52587890625e-05,0
