seed,target_zipf_alpha,risk_shift,bits_per_key,method,first_seen_invalid_forward_rate,probe_cost,backend_reduction,amq_rank,valid_rejects
5,0.4,0.75,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,2,0
5,0.4,0.75,12.0,Risk partition,0.0032026679350425783,8.199601763746843,0.9061793927863249,4,0
5,0.4,0.75,12.0,TRAPS learned,0.0032762179145209734,8.485421048888961,0.9061125291686173,5,0
5,0.4,0.75,12.0,Oracle AMQ,0.0029108244652447557,8.615329790890545,0.9064447050315957,1,0
5,0.4,0.75,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
5,0.4,0.75,12.0,Adaptive tag,0.00025521720362796786,1.0,0.9088588934512473,,0
6,0.4,0.75,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,2,0
6,0.4,0.75,12.0,Risk partition,0.003193188024214511,8.54711676204396,0.9061880108870777,4,0
6,0.4,0.75,12.0,TRAPS learned,0.0032528992243332005,8.645097671261777,0.9061337279778789,5,0
6,0.4,0.75,12.0,Oracle AMQ,0.0027481162570181226,8.63544204086312,0.906592621584529,1,0
6,0.4,0.75,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
6,0.4,0.75,12.0,Adaptive tag,0.00025340067888594386,1.0,0.9088605448373764,,0
7,0.4,0.75,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,2,0
7,0.4,0.75,12.0,Risk partition,0.0033705248047099065,8.437674030914604,0.9060267956320819,5,0
7,0.4,0.75,12.0,TRAPS learned,0.003324153964663917,8.469911823474071,0.9060689509412146,4,0
7,0.4,0.75,12.0,Oracle AMQ,0.0028643189758299787,8.494728528185782,0.9064869827492454,1,0
7,0.4,0.75,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
7,0.4,0.75,12.0,Adaptive tag,0.00025895141941875135,1.0,0.9088554987096193,,0
8,0.4,0.75,12.0,Global Bloom,0.003134028105931708,8.0,0.9062417926309712,4,0
8,0.4,0.75,12.0,Risk partition,0.0029951368308281335,8.82693729846513,0.9063680574265198,2,0
8,0.4,0.75,12.0,TRAPS learned,0.003020022816057258,8.743211172714005,0.9063454338035843,3,0
8,0.4,0.75,12.0,Oracle AMQ,0.002742048700228275,8.81625131224072,0.906598137545247,1,0
8,0.4,0.75,12.0,Peppered tag,0.000244140625,1.0,0.9088689630681819,,0
